id etudiant;reussite;note de smestre1;heures-etudie;absences;age;score_total
S0764;;15;3;9;18;13.2
S0765;;1;4;16;16;-2.2
S0766;;11;3;15;17;8.0
S0767;;15;1;10;19;13.0
S0768;;18;3;8;20;16.4
S0769;;7;2;15;17;4.0
S0770;;17;3;8;16;15.4
S0771;;3;2;16;18;-0.20000000000000018
S0772;;16;4;9;17;14.2
S0773;;3;2;17;18;-0.40000000000000036
S0774;;8;2;14;19;5.199999999999999
S0775;;16;4;11;18;13.8
S0776;;3;1;18;17;-0.6000000000000001
S0777;;5;3;17;16;1.5999999999999996
S0778;;14;3;10;19;12.0
S0779;;14;4;10;20;12.0
S0780;;13;4;10;19;11.0
S0781;;14;4;11;17;11.8
S0782;;10;1;9;19;8.2
S0783;;5;4;19;18;1.1999999999999997
S0784;;7;3;17;20;3.5999999999999996
S0785;;4;3;10;20;2.0
S0786;;18;1;10;17;16.0
S0787;;12;3;15;17;9.0
S0788;;8;4;12;18;5.6
S0789;;9;4;18;18;5.4
S0790;;18;2;7;16;16.6
S0791;;3;1;12;17;0.5999999999999996
S0792;;12;2;15;16;9.0
S0793;;10;4;17;17;6.6
S0794;;12;3;15;16;9.0
S0795;;1;2;17;18;-2.4000000000000004
S0796;;17;1;5;16;16.0
S0797;;18;2;8;16;16.4
S0798;;11;2;10;17;9.0
S0799;;14;4;6;18;12.8
S0800;;18;3;2;16;17.6
S0801;;14;2;10;16;12.0
S0802;;3;3;23;20;-1.6000000000000005
S0803;;11;1;14;17;8.2
S0804;;12;4;12;16;9.6
S0805;;8;2;14;16;5.199999999999999
S0806;;14;2;10;17;12.0
S0807;;18;2;4;16;17.2
S0808;;18;3;4;20;17.2
S0809;;9;3;14;16;6.199999999999999
S0810;;2;3;15;16;-1.0
S0811;;19;2;5;16;18.0
S0812;;16;2;8;17;14.4
S0813;;3;1;16;16;-0.20000000000000018
S0814;;18;3;7;16;16.6
S0815;;17;1;2;17;16.6
S0816;;10;3;16;17;6.8
S0817;;12;4;13;17;9.4
S0818;;8;4;14;18;5.199999999999999
S0819;;1;2;18;16;-2.6
S0820;;7;2;12;19;4.6
S0821;;16;1;9;16;14.2
S0822;;1;3;23;18;-3.6000000000000005
S0823;;7;4;13;18;4.4
S0824;;8;1;12;19;5.6
S0825;;11;2;17;18;7.6
S0826;;18;4;7;16;16.6
S0827;;8;4;19;18;4.199999999999999
S0828;;7;1;16;20;3.8
S0829;;14;3;12;19;11.6
S0830;;9;1;11;16;6.8
S0831;;4;1;16;17;0.7999999999999998
S0832;;9;4;16;17;5.8
S0833;;3;4;15;18;0.0
S0834;;4;4;21;17;-0.20000000000000018
S0835;;10;1;12;19;7.6
S0836;;8;4;16;16;4.8
S0837;;18;2;8;16;16.4
S0838;;7;2;13;16;4.4
S0839;;12;3;10;19;10.0
S0840;;12;1;7;20;10.6
S0841;;1;4;20;17;-3.0
S0842;;13;3;10;17;11.0
S0843;;3;1;18;16;-0.6000000000000001
S0844;;19;1;6;17;17.8
S0845;;3;1;16;17;-0.20000000000000018
S0846;;8;1;14;17;5.199999999999999
S0847;;2;3;23;18;-2.6000000000000005
S0848;;20;4;5;19;19.0
S0849;;10;1;12;16;7.6
S0850;;12;1;13;17;9.4
S0851;;2;3;22;18;-2.4000000000000004
S0852;;15;4;5;20;14.0
S0853;;4;2;15;17;1.0
S0854;;18;2;8;17;16.4
S0855;;5;3;20;19;1.0
S0856;;4;2;19;16;0.19999999999999973
S0857;;1;1;16;16;-2.2
S0858;;10;3;13;20;7.4
S0859;;11;3;13;20;8.4
S0860;;2;3;17;16;-1.4000000000000004
S0861;;15;3;11;17;12.8
S0862;;9;3;10;18;7.0
S0863;;11;1;9;20;9.2
S0864;;9;2;15;18;6.0
S0865;;8;1;16;20;4.8
S0866;;11;1;18;16;7.4
S0867;;3;3;21;17;-1.2000000000000002
S0868;;4;4;20;16;0.0
S0869;;17;4;7;17;15.6
S0870;;19;3;7;18;17.6
S0871;;7;1;18;17;3.4
S0872;;5;1;16;19;1.7999999999999998
S0873;;12;4;9;20;10.2
S0874;;8;3;13;17;5.4
S0875;;1;3;24;20;-3.8000000000000007
S0876;;4;4;18;16;0.3999999999999999
S0877;;14;3;13;17;11.4
S0878;;13;4;8;16;11.4
S0879;;1;1;17;17;-2.4000000000000004
S0880;;5;3;19;20;1.1999999999999997
S0881;;6;4;18;19;2.4
S0882;;13;2;11;20;10.8
S0883;;1;3;25;18;-4.0
S0884;;3;2;17;17;-0.40000000000000036
S0885;;16;4;9;16;14.2
S0886;;4;1;15;20;1.0
S0887;;13;3;13;16;10.4
S0888;;5;1;18;16;1.4
S0889;;2;3;22;18;-2.4000000000000004
S0890;;5;1;19;18;1.1999999999999997
S0891;;14;1;13;20;11.4
S0892;;17;2;5;19;16.0
S0893;;17;4;10;16;15.0
S0894;;8;1;14;19;5.199999999999999
S0895;;14;1;11;20;11.8
S0896;;5;4;20;18;1.0
S0897;;6;3;16;20;2.8
S0898;;18;4;6;18;16.8
S0899;;1;1;22;16;-3.4000000000000004
S0900;;2;3;16;19;-1.2000000000000002
S0901;;4;1;19;19;0.19999999999999973
S0902;;1;1;20;19;-3.0
S0903;;4;3;16;18;0.7999999999999998
S0904;;12;3;13;18;9.4
S0905;;9;4;14;17;6.199999999999999
S0906;;17;2;8;19;15.4
S0907;;16;2;8;16;14.4
S0908;;7;2;21;19;2.8
S0909;;6;4;21;19;1.7999999999999998
S0910;;8;2;13;20;5.4
S0911;;12;2;9;19;10.2
S0912;;6;2;18;19;2.4
S0913;;12;3;12;16;9.6
S0914;;9;2;13;16;6.4
S0915;;11;4;10;20;9.0
S0916;;9;2;19;19;5.199999999999999
S0917;;6;4;18;18;2.4
S0918;;19;1;7;17;17.6
S0919;;15;3;7;19;13.6
S0920;;3;4;11;18;0.7999999999999998
S0921;;17;1;8;19;15.4
S0922;;9;4;16;17;5.8
S0923;;18;2;6;18;16.8
S0924;;15;4;5;20;14.0
S0925;;9;3;13;16;6.4
S0926;;1;2;21;17;-3.2
S0927;;5;1;13;16;2.4
S0928;;11;2;10;16;9.0
S0929;;13;1;13;19;10.4
S0930;;5;1;15;18;2.0
S0931;;3;1;15;16;0.0
S0932;;17;2;5;17;16.0
S0933;;19;4;6;16;17.8
S0934;;10;1;13;20;7.4
S0935;;4;1;14;18;1.1999999999999997
S0936;;5;3;19;16;1.1999999999999997
S0937;;1;1;18;19;-2.6
S0938;;18;1;10;16;16.0
S0939;;3;1;15;19;0.0
S0940;;11;4;12;16;8.6
S0941;;5;4;13;16;2.4
S0942;;11;2;11;16;8.8
S0943;;13;3;14;18;10.2
S0944;;16;3;5;19;15.0
S0945;;5;3;13;17;2.4
S0946;;1;3;17;18;-2.4000000000000004
S0947;;3;3;20;18;-1.0
S0948;;17;2;8;20;15.4
S0949;;17;1;7;16;15.6
S0950;;12;2;13;20;9.4
S0951;;12;4;7;20;10.6
S0952;;13;3;10;20;11.0
S0953;;3;4;24;17;-1.8000000000000007
S0954;;18;4;6;16;16.8
S0955;;8;1;15;18;5.0
S0956;;8;3;14;16;5.199999999999999
S0957;;10;3;13;20;7.4
S0958;;1;4;17;19;-2.4000000000000004
S0959;;4;4;14;19;1.1999999999999997
S0960;;15;3;9;17;13.2
S0961;;2;1;19;18;-1.8000000000000003
S0962;;12;4;11;19;9.8
S0963;;5;1;16;16;1.7999999999999998
S0964;;8;4;16;16;4.8
S0965;;6;4;14;18;3.1999999999999997
S0966;;8;2;13;18;5.4
S0967;;14;3;6;17;12.8
S0968;;7;2;12;18;4.6
S0969;;11;2;13;20;8.4
S0970;;9;2;11;18;6.8
S0971;;13;4;13;16;10.4
S0972;;18;4;5;16;17.0
S0973;;15;4;11;19;12.8
S0974;;4;1;19;18;0.19999999999999973
S0975;;1;4;18;16;-2.6
S0976;;5;3;23;20;0.39999999999999947
S0977;;12;2;16;17;8.8
S0978;;1;1;19;16;-2.8000000000000003
S0979;;9;2;12;16;6.6
S0980;;12;4;12;20;9.6
S0981;;7;3;19;18;3.1999999999999997
S0982;;15;3;11;16;12.8
S0983;;2;2;17;18;-1.4000000000000004
S0984;;2;3;17;16;-1.4000000000000004
S0985;;14;1;10;19;12.0
S0986;;10;2;10;16;8.0
S0987;;14;3;9;18;12.2
S0988;;9;1;15;17;6.0
S0989;;5;4;17;20;1.5999999999999996
S0990;;16;1;12;18;13.6
S0991;;16;3;9;20;14.2
S0992;;13;2;7;18;11.6
S0993;;6;3;14;16;3.1999999999999997
S0994;;11;1;8;20;9.4
S0995;;7;1;15;19;4.0
S0996;;2;4;15;16;-1.0
S0997;;18;2;7;18;16.6
S0998;;3;4;14;18;0.19999999999999973
S0999;;18;4;6;16;16.8
S1000;;9;1;12;19;6.6
